"ID","weight","direction_v3","dimension"
"HVCN1",14.546355826812,1,"Mass"
"NDUFS1",14.5009384524474,1,"Mass"
"RCBTB1",14.4205957077077,-1,"Mass"
"POLR3H",14.4045263042559,1,"Mass"
"SEC31B",14.3230581958029,1,"Mass"
"AKT1S1",14.3057876046398,1,"Mass"
"NAGA",14.2708348445672,1,"Mass"
"ANAPC7",14.1483289995755,1,"Mass"
"ZNF500",13.9442659805978,1,"Mass"
"VKORC1L1",13.800601684407,1,"Mass"
"WDR70",13.6890190126852,1,"Mass"
"UCK1",13.6848462849032,1,"Mass"
"ARL3",13.6429254892728,-1,"Mass"
"REEP5",13.6178860988649,1,"Mass"
"ELK4",13.5290795662866,1,"Mass"
"GRINA",13.4709992286014,-1,"Mass"
"MRPL42",13.3904384179421,-1,"Mass"
"SLC39A13",13.3281635884318,-1,"Mass"
"SLC35E2B",13.1558762778834,1,"Mass"
"UTP18",13.1313853477863,-1,"Mass"
"GSAP",13.1296731687236,-1,"Mass"
"CD164",12.9870104783863,1,"Mass"
"HSD3B7",12.8994804297888,1,"Mass"
"CTSZ",12.7045840852196,-1,"Mass"
"CNIH4",12.5008484278068,1,"Mass"
"ADAM17",12.3826442177859,-1,"Mass"
"WBP4",12.3277756475476,-1,"Mass"
"DNAJC18",12.2612842484797,1,"Mass"
"CINP",12.2499798533168,-1,"Mass"
"TANC2",12.2450737771586,-1,"Mass"
"NNT",12.0785604786339,1,"Mass"
"RAPGEF1",12.050085160374,1,"Mass"
"COPZ2",11.9354776177921,1,"Mass"
"YWHAZ",11.8397786947434,-1,"Mass"
"ATXN3",11.8152937503898,-1,"Mass"
"ZCCHC4",11.7892389976651,1,"Mass"
"USP39",11.7699370184919,-1,"Mass"
"WBP11",11.7340350400874,1,"Mass"
"MANBAL",11.6829923800718,1,"Mass"
"ATP1B3",11.6568906948637,-1,"Mass"
"PAFAH1B1",11.5943004389686,-1,"Mass"
"PAFAH2",11.5598279533218,1,"Mass"
"CEP192",11.5459370018202,1,"Mass"
"RFT1",11.5311,1,"Mass"
"COG4",11.5023506765074,1,"Mass"
"TRIP11",11.3955390696535,-1,"Mass"
"MAU2",11.35592,1,"Mass"
"CEP57",11.3453169828789,1,"Mass"
"CD151",11.23135,1,"Mass"
"POLR2L",11.23135,-1,"Mass"
"SPATA5L1",11.2249270829703,1,"Mass"
"GLTP",11.1802305278827,-1,"Mass"
"ANAPC4",10.976204769697,1,"Mass"
"KANSL2",10.9375342100942,1,"Mass"
"OCEL1",10.9257367154449,-1,"Mass"
"RXRA",10.9062247862732,-1,"Mass"
"CABLES2",10.8606492487558,-1,"Mass"
"ARHGAP1",10.7562025135268,-1,"Mass"
"SUCO",10.7560155782439,-1,"Mass"
"TRIM4",10.7045538153825,-1,"Mass"
"ATP9B",10.3819831210843,1,"Mass"
"SLC22A5",10.3611698003498,-1,"Mass"
"SNAPC5",10.3346410898647,-1,"Mass"
"ARHGEF7",10.3192479979076,1,"Mass"
"TMEM8B",10.2124176142146,-1,"Mass"
"TMEM101",10.0788796345983,-1,"Mass"
"GTF2A2",9.9449033856584,-1,"Mass"
"CDK10",9.83053,-1,"Mass"
"EIF2B2",9.759,-1,"Mass"
"DMXL2",9.69447,-1,"Mass"
"POLG",9.56743,-1,"Mass"
"EXOSC6",9.39883,-1,"Mass"
"RRP15",9.3830215193348,1,"Mass"
"PTTG1IP",9.34684,1,"Mass"
"CTSS",9.27845,1,"Mass"
"KCTD9",9.18392,-1,"Mass"
"RABEP1",9.15931,-1,"Mass"
"RRAGD",8.9086,1,"Mass"
"JRK",8.87809,-1,"Mass"
"ERAP1",8.11508527265939,-1,"Mass"
"PREX1",8.07516727504762,1,"Mass"
"HECTD2",8.05504661816636,1,"Mass"
"SPATA24",8.00146273968287,1,"Mass"
"ATF5",7.98571839784207,-1,"Mass"
"RFC1",7.87641293816227,1,"Mass"
"TRIM66",7.86841814365081,1,"Mass"
"COMMD7",7.81992072103889,1,"Mass"
"COX7A2L",7.81063079430849,1,"Mass"
"ACADS",7.65514495421217,1,"Mass"
"BRF2",7.57171206681157,1,"Mass"
"NDFIP1",7.42595763427519,-1,"Mass"
"SYPL2",7.36602,1,"Mass"
"OXCT1",7.2451575013936,-1,"Mass"
"PIGV",7.03979955000141,-1,"Mass"
"NUDCD3",6.81706091392764,1,"Mass"
"SLBP",6.80813722634907,-1,"Mass"
"IGF2R",6.79473048177777,-1,"Mass"
"MGMT",6.75419558554625,1,"Mass"
"TBC1D9B",6.6668,-1,"Mass"
"ZZEF1",6.52931088039159,1,"Mass"
"GOLPH3L",6.47368,-1,"Mass"
"SLC38A10",6.42851987980126,-1,"Mass"
"GTF2H1",6.3119179715836,1,"Mass"
"CRIPT",6.279,1,"Mass"
"SMYD4",6.23789096266118,-1,"Mass"
"NUP88",6.21504434256104,1,"Mass"
"FAM114A2",6.18428519757943,1,"Mass"
"SCRN2",6.12792878711886,1,"Mass"
"ACO2",6.0931532756201,-1,"Mass"
"MTCH2",6.0674,-1,"Mass"
"THAP3",5.97175,-1,"Mass"
"ABCF3",5.9375,1,"Mass"
"KIF1B",5.8,1,"Mass"
"MAST2",5.57147,1,"Mass"
"PGD",5.54543,1,"Mass"
"SAR1B",5.5357,-1,"Mass"
"CERS2",5.52632,-1,"Mass"
"LMAN2L",5.45,-1,"Mass"
"ETFDH",5.42857,1,"Mass"
"MCEE",5.3925,-1,"Mass"
"SCYL3",5.38042,-1,"Mass"
"EXOC2",5.3553,-1,"Mass"
"GPBP1L1",5.34544,-1,"Mass"
"NOP58",5.3448,-1,"Mass"
"MTFR1L",5.2264,-1,"Mass"
"FILIP1",5.2045,-1,"Mass"
"CAND2",5.1137,-1,"Mass"
"HYAL1",5.0333,-1,"Mass"
"LTBR",19.02285,-1,"Resilience"
"KDELR2",18.8016,1,"Resilience"
"CTSS",14.78772,-1,"Resilience"
"SSBP4",14.01162,-1,"Resilience"
"CERS2",13.95545,1,"Resilience"
"GOLPH3L",13.02504,1,"Resilience"
"SNX17",11.54993,1,"Resilience"
"SMG8",11.06956,-1,"Resilience"
"GRPEL1",9.9028,1,"Resilience"
"FADS2",9.7271,-1,"Resilience"
"RRP12",9.50981,-1,"Resilience"
"HEATR6",9.16384,1,"Resilience"
"IGDCC4",8.789,-1,"Resilience"
"MED20",8.3748,-1,"Resilience"
"COMMD7",8.34237,1,"Resilience"
"SLC25A24",6.95219,-1,"Resilience"
"TRIP4",6.8045,1,"Resilience"
"GATAD1",6.7531,-1,"Resilience"
"GPN1",6.55608,1,"Resilience"
"SKA2",6.48698,1,"Resilience"
"CISD1",6.44505,-1,"Resilience"
"CISD2",6.2311,-1,"Resilience"
"ATP1B3",6.11907,-1,"Resilience"
"CTDP1",6.10565,-1,"Resilience"
"UBL7",5.9983,1,"Resilience"
"FAM177A1",5.8137,1,"Resilience"
"NDFIP1",5.77245,1,"Resilience"
"UQCC1",5.7426,-1,"Resilience"
"HM13",5.72372,-1,"Resilience"
"EXOSC1",5.62968,-1,"Resilience"
"RPS20",5.61353,-1,"Resilience"
"PTGR1",5.56162,-1,"Resilience"
"KANSL1",5.53409,-1,"Resilience"
"PEX1",5.5142,1,"Resilience"
"IER2",5.46713,1,"Resilience"
"CIAO1",5.3977,-1,"Resilience"
"TRPT1",5.39294,-1,"Resilience"
"GALC",5.3694,1,"Resilience"
"IL17RA",5.3502,-1,"Resilience"
"CHCHD2",5.2829,1,"Resilience"
"SPG7",5.26394,1,"Resilience"
"VPS11",5.22506,1,"Resilience"
"MXI1",5.21516,-1,"Resilience"
"ETHE1",5.20185,1,"Resilience"
"MKRN2",5.15977,1,"Resilience"
"DIDO1",5.10946,-1,"Resilience"
"TMCO3",5.0475,1,"Resilience"
"ZNF320",5.03409,1,"Resilience"
"PMM1",5.0279,-1,"Resilience"
"MAP1LC3A",5.027,1,"Resilience"
"RPL10A",5.0018,-1,"Resilience"
"CNIH4",4.99883,-1,"Resilience"
"RIC8A",4.98869,1,"Resilience"
"ZSWIM7",4.9797,1,"Resilience"
"ZFYVE21",4.9717,1,"Resilience"
"CEP250",4.9675,-1,"Resilience"
"CCM2",4.9006,-1,"Resilience"
"GGCX",4.8854,-1,"Resilience"
"ACSS2",4.8309,1,"Resilience"
"DIP2A",4.8235,-1,"Resilience"
"AP4E1",4.8074,1,"Resilience"
"RFWD3",4.76601,-1,"Resilience"
"PDCD6IP",4.75682,1,"Resilience"
"UPP1",4.7336,1,"Resilience"
"EIF6",4.7296,1,"Resilience"
"GGT7",4.7076,1,"Resilience"
"ADO",4.67584,1,"Resilience"
"SLC44A2",4.64139,-1,"Resilience"
"TTC19",4.59602,-1,"Resilience"
"TMBIM1",4.59594,-1,"Resilience"
"WDR73",4.5932,1,"Resilience"
"MARK4",4.57366,-1,"Resilience"
"ASAP3",4.549,-1,"Resilience"
"FBXL22",4.5384,-1,"Resilience"
"SPAG7",4.51245,1,"Resilience"
"UBE2Z",4.49692,1,"Resilience"
"RPS8",4.47158,1,"Resilience"
"TSC22D4",4.436,-1,"Resilience"
"TMEM87B",4.40468,1,"Resilience"
"SEC22A",4.40435,-1,"Resilience"
"HMBS",4.3819,1,"Resilience"
"ALPK3",4.3404,-1,"Resilience"
"COX7A1",4.31061,-1,"Resilience"
"DLST",4.2554,-1,"Resilience"
"COX14",4.22266,1,"Resilience"
"DNASE2",4.22254,1,"Resilience"
"ZNF236",4.22245,1,"Resilience"
"RTN2",4.18135,-1,"Resilience"
"NFS1",4.1738,1,"Resilience"
"USP39",4.16279,1,"Resilience"
"CAMLG",4.15929,-1,"Resilience"
"CREB3L2",4.1575,-1,"Resilience"
"ZDHHC7",4.15638,1,"Resilience"
"TOM1",4.0347,-1,"Resilience"
"KIAA0319L",4.00452,-1,"Resilience"
"TM2D2",3.97884,1,"Resilience"
"ETFA",3.974,1,"Resilience"
"SLBP",3.9644,-1,"Resilience"
"SUGP1",3.94527,1,"Resilience"
"GPR157",3.91033,1,"Resilience"
"SRR",3.87673,1,"Resilience"
"TOMM22",3.8765,-1,"Resilience"
"OCEL1",3.87594,-1,"Resilience"
"UBE2D3",3.8738,-1,"Resilience"
"CAV1",3.8483,-1,"Resilience"
"DYNC1I1",3.8361,-1,"Resilience"
"KRI1",3.76786,-1,"Resilience"
"RNF130",3.75523,-1,"Resilience"
"SND1",3.75,1,"Resilience"
"FAM200B",3.7168,1,"Resilience"
"RGCC",3.710674,-1,"Resilience"
"SCYL3",3.68282,1,"Resilience"
"RPL9",3.6778,1,"Resilience"
"HDAC5",3.6559,1,"Resilience"
"F10",3.6557,-1,"Resilience"
"NOA1",3.6309,1,"Resilience"
"ST3GAL3",3.62828,1,"Resilience"
"NBEAL2",3.62347,-1,"Resilience"
"ERCC6L2",3.6215,1,"Resilience"
"ZSCAN29",3.6206,-1,"Resilience"
"RAB5C",3.61765,-1,"Resilience"
"MAU2",3.60393,1,"Resilience"
"PLEKHM1",3.5957,-1,"Resilience"
"AK9",3.5928,-1,"Resilience"
"DMWD",3.58036,-1,"Resilience"
"CCDC77",3.57445,1,"Resilience"
"PCMT1",3.5584,-1,"Resilience"
"SLC36A1",3.55645,1,"Resilience"
"LUZP1",3.55418,-1,"Resilience"
"APPL1",3.54721,-1,"Resilience"
"TMEM144",3.5431,-1,"Resilience"
"PDCD5",3.53707,1,"Resilience"
"OGDH",3.5312,1,"Resilience"
"NUP43",3.5065,1,"Resilience"
"GPBP1L1",3.50119,1,"Resilience"
"GLS",3.49201,1,"Resilience"
"RPL13",3.48627,1,"Resilience"
"PSMA6",3.4674,-1,"Resilience"
"MTMR3",3.4603,-1,"Resilience"
"ARPC2",3.45753,-1,"Resilience"
"ISCU",3.4462,-1,"Resilience"
"SNAP47",3.44,1,"Resilience"
"TANGO6",3.43738,1,"Resilience"
"C15orf61",3.431,-1,"Resilience"
"ACVR2A",3.42707,-1,"Resilience"
"MAPRE3",3.41974,1,"Resilience"
"SMG9",3.40477,-1,"Resilience"
"FARSA",3.40398,1,"Resilience"
"SMARCD2",3.3807,-1,"Resilience"
"LONRF2",3.3699,1,"Resilience"
"WBP11",3.3649,1,"Resilience"
"MAPT",3.343,1,"Resilience"
"TARS2",3.3374,1,"Resilience"
"HMG20A",3.3334,1,"Resilience"
"PLCD3",3.3312,1,"Resilience"
"FN3KRP",3.33096,-1,"Resilience"
"PPP6R2",3.3291,-1,"Resilience"
"SNRPC",11.2305333333333,1,"LeanMuscle"
"RBM6",10.8351166666667,1,"LeanMuscle"
"MTCH2",10.0142333333333,-1,"LeanMuscle"
"MAP2K5",9.71377466666667,-1,"LeanMuscle"
"HSD17B12",8.9799,1,"LeanMuscle"
"UHRF1BP1",8.66341333333333,-1,"LeanMuscle"
"KAT8",8.38649666666667,-1,"LeanMuscle"
"SLC35E2B",8.02921,-1,"LeanMuscle"
"RSRC2",7.91348,1,"LeanMuscle"
"HSD3B7",7.70249333333333,-1,"LeanMuscle"
"RPTOR",7.52903333333333,1,"LeanMuscle"
"STX4",7.41623,-1,"LeanMuscle"
"PTTG1IP",7.14023333333333,-1,"LeanMuscle"
"LONRF2",6.77129666666667,1,"LeanMuscle"
"GFPT1",6.69629,-1,"LeanMuscle"
"HMBS",6.69256,-1,"LeanMuscle"
"EXOSC6",6.65977,1,"LeanMuscle"
"IFT81",6.63944666666667,-1,"LeanMuscle"
"ENTPD6",6.166269,1,"LeanMuscle"
"ZZEF1",6.14293333333334,-1,"LeanMuscle"
"FNDC5",6.14120666666667,1,"LeanMuscle"
"INVS",6.13653,-1,"LeanMuscle"
"CTSS",6.133655,1,"LeanMuscle"
"ANKLE2",6.04117,-1,"LeanMuscle"
"ASB16",6.01825,-1,"LeanMuscle"
"VPS11",6.00881,-1,"LeanMuscle"
"DMXL2",5.940693,1,"LeanMuscle"
"TMEM52",5.935515,-1,"LeanMuscle"
"ACSS2",5.9135,-1,"LeanMuscle"
"RPS6KB2",5.8934,-1,"LeanMuscle"
"PCCB",5.87811,-1,"LeanMuscle"
"ERAP1",5.878005,1,"LeanMuscle"
"DCAKD",5.8633,1,"LeanMuscle"
"VPS29",5.85259333333333,-1,"LeanMuscle"
"KANSL1",5.7712,1,"LeanMuscle"
"SMAD3",5.6931905,-1,"LeanMuscle"
"CRIPT",5.680115,1,"LeanMuscle"
"NADK",5.679435,1,"LeanMuscle"
"BCL7A",5.67884,-1,"LeanMuscle"
"TMEM18",5.6758,-1,"LeanMuscle"
"PMM1",5.673,1,"LeanMuscle"
"YWHAB",5.66340166666667,1,"LeanMuscle"
"DYNC1I2",5.65127,-1,"LeanMuscle"
"KCTD7",5.646465,-1,"LeanMuscle"
"FAM114A2",5.56389333333333,-1,"LeanMuscle"
"CBFA2T2",5.5474,-1,"LeanMuscle"
"THEM6",5.5306,1,"LeanMuscle"
"TTC12",5.49248,-1,"LeanMuscle"
"PDCD6",5.45859333333333,1,"LeanMuscle"
"GOLPH3L",5.45307,-1,"LeanMuscle"
"CEP192",5.4425,1,"LeanMuscle"
"VKORC1L1",5.43316,-1,"LeanMuscle"
"NTAN1",5.41027,-1,"LeanMuscle"
"PEPD",5.38985,-1,"LeanMuscle"
"UQCC1",5.3844,1,"LeanMuscle"
"ELP5",5.3339,1,"LeanMuscle"
"KLC1",5.33323666666667,-1,"LeanMuscle"
"ANKRD54",5.33175,1,"LeanMuscle"
"SNX19",5.331105,1,"LeanMuscle"
"GSTP1",5.32071666666667,-1,"LeanMuscle"
"FNBP4",5.31244666666667,-1,"LeanMuscle"
"MTIF3",5.3116,1,"LeanMuscle"
"MTFR1L",5.31152,-1,"LeanMuscle"
"GSAP",5.298425,1,"LeanMuscle"
"FIBP",5.21020333333333,-1,"LeanMuscle"
"HMGB1",5.20603333333333,-1,"LeanMuscle"
"RFWD3",5.193155,-1,"LeanMuscle"
"ARHGEF7",5.17056666666667,-1,"LeanMuscle"
"RRN3",5.148065,1,"LeanMuscle"
"GCAT",5.14163333333333,-1,"LeanMuscle"
"CEP250",5.1367,1,"LeanMuscle"
"SLC26A6",5.13081,1,"LeanMuscle"
"NCKIPSD",5.10861,-1,"LeanMuscle"
"CERS2",5.10594,-1,"LeanMuscle"
"ANAPC7",5.0952,-1,"LeanMuscle"
"RAB5B",5.082705,-1,"LeanMuscle"
"ZNF500",5.08270333333333,-1,"LeanMuscle"
"ZFYVE21",5.08042666666667,-1,"LeanMuscle"
"TP53I13",5.0728,-1,"LeanMuscle"
"CCDC127",5.07164333333333,1,"LeanMuscle"
"DLG4",5.05606666666667,-1,"LeanMuscle"
"PCGF3",5.04737,-1,"LeanMuscle"
"COPZ2",5.04013333333333,-1,"LeanMuscle"
"WDR6",4.96778,1,"LeanMuscle"
"AP3M1",4.91,-1,"LeanMuscle"
"SUGP1",4.905502,-1,"LeanMuscle"
"GBA2",4.89176,1,"LeanMuscle"
"TTC19",4.8829,-1,"LeanMuscle"
"ZSWIM7",4.87713333333333,1,"LeanMuscle"
"UBE2Z",4.8663,-1,"LeanMuscle"
"CYTH1",4.8604,-1,"LeanMuscle"
"SRR",4.84855,-1,"LeanMuscle"
"RABEP1",4.8403,1,"LeanMuscle"
"MAPRE3",4.83201,1,"LeanMuscle"
"TMEM120B",4.8283,1,"LeanMuscle"
"DLAT",4.81668,-1,"LeanMuscle"
"TRPT1",4.812135,1,"LeanMuscle"
"KLF5",4.810975,1,"LeanMuscle"
"CTSF",4.806492,-1,"LeanMuscle"
"CPNE1",4.768191,1,"LeanMuscle"
"AGAP3",4.76399,1,"LeanMuscle"
"GPBP1L1",4.72525,-1,"LeanMuscle"
"NT5DC1",4.707095,1,"LeanMuscle"
"TRMT61B",4.70252,-1,"LeanMuscle"
"KNOP1",4.6789,1,"LeanMuscle"
"NOC3L",4.6322,1,"LeanMuscle"
"CD164",4.63172,-1,"LeanMuscle"
"BRK1",4.630275,1,"LeanMuscle"
"USP19",4.61181,-1,"LeanMuscle"
"NUDCD3",4.60303,-1,"LeanMuscle"
"MGMT",4.5946,-1,"LeanMuscle"
"UBL7",4.5942,-1,"LeanMuscle"
"CNOT6L",4.59,1,"LeanMuscle"
"NFS1",4.565024,-1,"LeanMuscle"
"MED20",4.56,-1,"LeanMuscle"
"FASN",4.5495,1,"LeanMuscle"
"RUFY2",4.544,1,"LeanMuscle"
"PLCD3",4.5271,1,"LeanMuscle"
"LRRFIP2",4.522005,1,"LeanMuscle"
"CDC16",4.5101,1,"LeanMuscle"
"UBXN6",4.509365,1,"LeanMuscle"
"IQCB1",4.507125,1,"LeanMuscle"
"SPATA20",4.4792,-1,"LeanMuscle"
"SUOX",4.47109,-1,"LeanMuscle"
"ATP9B",4.4596,-1,"LeanMuscle"
"KDM2B",4.45849,-1,"LeanMuscle"
"DCTN2",4.4423,-1,"LeanMuscle"
"NFRKB",4.4338,-1,"LeanMuscle"
"GGT7",4.4182,-1,"LeanMuscle"
"SPOCK1",4.40895,-1,"LeanMuscle"
"SEC22A",4.3942,1,"LeanMuscle"
"MAPT",4.3911,1,"LeanMuscle"
"DNASE2",4.390588,1,"LeanMuscle"
"ANKRD44",4.38691,1,"LeanMuscle"
"CLUAP1",4.38248,-1,"LeanMuscle"
"THAP3",4.38106,-1,"LeanMuscle"
"C15orf40",4.374,1,"LeanMuscle"
"KCNJ2",4.3682,1,"LeanMuscle"
"RPL13",4.3637,1,"LeanMuscle"
"LYRM4",4.35,-1,"LeanMuscle"
"PDE3A",4.34624,1,"LeanMuscle"
"RNH1",4.33998,-1,"LeanMuscle"
"ATP6V0D1",4.33141,1,"LeanMuscle"
"ADAM9",4.33,-1,"LeanMuscle"
"SNAPC5",4.316968,1,"LeanMuscle"
"TUFM",3.812412,-1,"LeanMuscle"
"MLH1",1.61293666666667,1,"LeanMuscle"
"RPS8",5.27922,-1,"Youth"
"POGZ",6.67148,-1,"Youth"
"TRMT61B",6.51501,-1,"Youth"
"RBM6",6.8289,-1,"Youth"
"CEP70",5.40341,1,"Youth"
"GRPEL1",5.3232,-1,"Youth"
"CD164",5.25297,-1,"Youth"
"HDDC2",4.74591,1,"Youth"
"TSC22D4",5.8526,1,"Youth"
"POLR2J",4.658,1,"Youth"
"RRP12",4.6483,-1,"Youth"
"CUL5",5.82,-1,"Youth"
"ACAT1",6.53,-1,"Youth"
"ATM",8.27,-1,"Youth"
"CHURC1",5.4627,-1,"Youth"
"PSEN1",6.7761,-1,"Youth"
"RPAP1",6.659733,1,"Youth"
"USP7",5.6385,-1,"Youth"
"LONP2",6.00922,1,"Youth"
"HEATR3",6.66906,1,"Youth"
"PRMT7",4.74363,-1,"Youth"
"TANGO6",7.53068,-1,"Youth"
"EXOSC6",6.75913,-1,"Youth"
"COG4",6.15542,1,"Youth"
"RFWD3",10.04795,-1,"Youth"
"RNF166",4.64337,1,"Youth"
"SMYD4",5.90007,-1,"Youth"
"METTL16",4.99687,-1,"Youth"
"POLI",11.4084,1,"Youth"
"ZNF236",4.6903,-1,"Youth"
"MPND",5.47948,1,"Youth"
"CHAF1A",4.84377,-1,"Youth"
"MAP1LC3A",4.3272,-1,"Youth"
"DIDO1",4.3758,1,"Youth"
"PRPF6",9.3999,1,"Youth"
"TOM1",4.9778,1,"Youth"
"MAPK12",6.1075,-1,"Youth"
